URL,Service Name,Number of Actions
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonkeyspacesforapachecassandra.html,cassandra,17
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonkinesisanalytics.html,kinesisanalytics,17
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonkinesisanalyticsv2.html,kinesisanalytics,31
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonkinesisdatastreams.html,kinesis,32
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonkinesisfirehose.html,firehose,12
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonkinesisvideostreams.html,kinesisvideo,43
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awslakeformation.html,lakeformation,52
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awslambda.html,lambda,68
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awslaunchwizard.html,launchwizard,33
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonlex.html,lex,47
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonlexv2.html,lex,112
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awslicensemanager.html,license-manager,50
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awslicensemanagerlinuxsubscriptionsmanager.html,license-manager-linux-subscriptions,4
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awslicensemanagerusersubscriptions.html,license-manager-user-subscriptions,11
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonlightsail.html,lightsail,161
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonlocation.html,geo,58
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonlookoutforequipment.html,lookoutequipment,49
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonlookoutformetrics.html,lookoutmetrics,30
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonlookoutforvision.html,lookoutvision,25
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonmachinelearning.html,machinelearning,28
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonmacie.html,macie2,79
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsmainframemodernizationservice.html,m2,33
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonmanagedblockchain.html,managedblockchain,34
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonmanagedblockchainquery.html,managedblockchain-query,9
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonmanagedgrafana.html,grafana,19
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonmanagedserviceforprometheus.html,aps,42
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonmanagedstreamingforapachekafka.html,kafka,52
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonmanagedstreamingforkafkaconnect.html,kafkaconnect,16
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonmanagedworkflowsforapacheairflow.html,airflow,11
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsmarketplace.html,aws-marketplace,18
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsmarketplacecatalog.html,aws-marketplace,16
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsmarketplacecommerceanalyticsservice.html,marketplacecommerceanalytics,2
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsmarketplacedeploymentservice.html,aws-marketplace,4
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsmarketplacediscovery.html,aws-marketplace,1
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsmarketplaceentitlementservice.html,aws-marketplace,1
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsmarketplaceimagebuildingservice.html,aws-marketplace,3
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsmarketplacemanagementportal.html,aws-marketplace-management,13
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsmarketplacemeteringservice.html,aws-marketplace,4
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsmarketplaceprivatemarketplace.html,aws-marketplace,5
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsmarketplaceprocurementsystemsintegration.html,aws-marketplace,2
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsmarketplacesellerreporting.html,aws-marketplace,1
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsmarketplacevendorinsights.html,vendor-insights,24
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonmechanicalturk.html,mechanicalturk,39
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonmemorydb.html,memorydb,39
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonmessagedeliveryservice.html,ec2messages,6
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonmessagegatewayservice.html,ssmmessages,4
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsmicroserviceextractorfor.net.html,serviceextract,1
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsmigrationaccelerationprogramcredits.html,mapcredits,3
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsmigrationhub.html,mgh,21
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsmigrationhuborchestrator.html,migrationhub-orchestrator,31
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsmigrationhubrefactorspaces.html,refactor-spaces,24
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsmigrationhubstrategyrecommendations.html,migrationhub-strategy,31
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonmobileanalytics.html,mobileanalytics,1
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonmonitron.html,monitron,18
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonmq.html,mq,24
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonneptune.html,neptune-db,33
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonneptuneanalytics.html,neptune-graph,31
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsnetworkfirewall.html,network-firewall,36
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsnetworkmanager.html,networkmanager,85
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsnetworkmanagerchat.html,networkmanager-chat,7
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonnimblestudio.html,nimble,51
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazononeenterprise.html,one,27
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonopensearchingestion.html,osis,15
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonopensearchserverless.html,aoss,39
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonopensearchservice.html,es,97
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsopsworks.html,opsworks,74
